,Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
55,2025-03-12,6139.31,5393.95,745.36,110.89,0.00,0.00,798.93,0.00,2.47,625.68,849.48,753.99,820.47,1171.47,260.57,Março,2025.00
56,2025-03-13,5957.76,5147.18,810.58,81.24,363.88,187.91,582.94,0.00,15.46,718.97,745.19,439.71,816.04,977.97,217.87,Março,2025.00
57,2025-03-14,5193.27,4471.24,722.03,87.68,407.14,221.54,348.14,0.00,50.62,571.81,692.17,452.69,750.06,727.53,161.86,Março,2025.00
58,2025-03-15,747.18,747.18,0.00,0.00,0.00,0.00,50.60,0.00,0.00,0.00,174.24,379.96,0.00,116.49,25.89,Março,2025.00
59,2025-03-17,5883.76,5713.47,170.29,375.21,769.78,133.41,805.57,0.00,2.39,434.44,813.78,305.90,734.60,1095.05,243.34,Março,2025.00
60,2025-03-18,6245.66,5987.95,257.71,814.63,342.88,121.09,890.23,0.00,26.38,781.23,615.98,571.90,327.40,1224.19,272.04,Março,2025.00
61,2025-03-19,5326.06,5100.56,225.50,161.45,264.32,80.83,644.06,0.00,0.00,818.87,716.11,491.09,665.50,1029.39,228.94,Março,2025.00
62,2025-03-20,4792.19,4410.74,381.45,168.27,301.17,64.40,490.31,0.00,1.91,638.15,695.14,674.11,359.40,832.81,185.07,Março,2025.00
63,2025-03-21,4751.91,4275.10,476.81,141.56,239.13,114.39,539.22,0.00,5.25,551.25,388.16,485.70,399.48,1154.42,256.54,Março,2025.00
64,2025-03-24,4516.03,4032.82,483.21,176.91,189.42,26.46,479.66,172.40,14.74,330.12,395.95,481.06,425.26,1097.05,243.79,Março,2025.00
65,2025-03-25,4246.07,3925.67,320.40,199.44,232.14,38.83,505.63,25.78,6.55,330.45,440.52,577.18,459.12,908.21,201.82,Março,2025.00
66,2025-03-26,4120.43,3944.24,176.19,370.94,468.29,146.72,371.07,0.00,15.23,281.97,233.78,355.02,730.08,793.07,178.07,Março,2025.00
67,2025-03-27,4159.54,4004.90,154.64,254.17,55.18,74.85,572.33,0.00,0.00,285.36,411.15,252.36,757.51,1097.99,244.00,Março,2025.00
68,2025-03-28,3984.68,3631.00,353.68,182.26,473.61,158.40,489.36,0.00,0.00,237.50,339.00,250.78,376.55,919.26,204.28,Março,2025.00
69,2025-03-31,4425.84,3962.24,463.60,291.89,470.40,117.89,665.61,0.00,0.00,342.71,418.40,260.15,460.35,764.87,169.97,Março,2025.00
70,2025-04-01,5317.38,5098.20,219.18,225.09,370.93,108.43,807.25,0.00,0.00,491.72,547.77,398.11,1058.87,891.84,198.19,Abril,2025.00
71,2025-04-02,5354.73,5005.51,349.22,275.99,333.76,225.96,725.38,0.00,1.78,413.53,532.42,380.95,898.15,996.21,221.38,Abril,2025.00
72,2025-04-03,5794.25,5496.65,297.60,184.08,809.82,186.23,657.75,16.11,0.00,379.94,695.96,504.70,925.81,929.66,206.59,Abril,2025.00
73,2025-04-04,4814.66,4639.83,174.83,319.62,93.59,0.00,560.67,0.00,18.86,543.10,717.20,532.39,883.16,794.65,176.59,Abril,2025.00
74,2025-04-07,4393.48,4393.48,0.00,170.00,559.57,152.72,580.18,0.00,9.31,516.48,736.08,414.78,478.51,634.79,141.06,Abril,2025.00
75,2025-04-08,6066.51,5872.01,194.50,253.29,317.51,249.01,467.84,0.00,0.00,782.42,792.76,500.30,751.66,1437.73,319.49,Abril,2025.00
76,2025-04-09,6030.35,5876.05,154.30,323.32,601.02,190.94,646.42,6.44,2.84,683.19,662.86,485.96,801.58,1203.94,267.54,Abril,2025.00
77,2025-04-10,6206.66,5935.76,270.90,219.25,653.13,0.00,918.57,0.00,1.43,789.92,677.21,525.37,1141.53,825.83,183.52,Abril,2025.00
78,2025-04-11,5717.84,5447.43,270.41,407.20,95.29,33.25,835.51,110.69,0.00,409.09,733.86,452.37,1035.96,1091.53,242.68,Abril,2025.00
79,2025-04-14,4585.21,4314.31,270.90,260.81,54.64,29.03,818.05,0.00,0.00,553.64,864.04,364.07,444.59,756.83,168.61,Abril,2025.00
80,2025-04-15,5756.69,5486.28,270.41,184.27,460.54,223.14,578.05,0.00,6.01,491.02,797.18,485.59,513.14,1429.64,317.70,Abril,2025.00
81,2025-04-16,6383.02,6231.59,151.43,148.65,564.53,61.59,672.01,0.00,15.21,576.63,755.04,457.59,1178.94,1473.87,327.53,Abril,2025.00
82,2025-04-17,8535.44,8394.73,140.71,3447.70,0.00,0.00,521.54,0.00,8.00,737.94,789.08,422.81,977.67,1219.08,270.91,Abril,2025.00
83,2025-04-22,6174.79,5987.91,186.88,934.10,0.00,0.00,205.63,38.67,2.88,701.78,997.91,418.73,1053.06,1337.85,297.30,Abril,2025.00
84,2025-04-23,5450.58,4973.77,476.81,197.06,0.00,112.61,111.83,0.00,7.13,659.04,729.66,363.19,1256.27,1257.03,279.95,Abril,2025.00
85,2025-04-24,4978.43,4782.25,196.18,200.99,463.47,42.28,485.00,0.00,14.19,705.31,467.32,456.13,998.11,776.82,172.63,Abril,2025.00
