Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
2024-03-26,5733.5,5486.33,247.17,188.88,508.05,176.26,528.38,0.0,11.42,558.66,497.28,646.54,818.52,1270.1,282.24,Março,2024
2024-03-27,6285.759999999999,5910.23,375.53,2.47,475.94,190.73,863.83,5.89,2.12,522.0,582.63,689.42,1216.11,1111.68,247.41,Março,2024
2024-03-28,5551.27,5362.6,188.67,279.76,325.76,105.14,949.13,58.85,24.01,626.86,676.78,612.11,673.27,843.32,187.61,Março,2024
2024-04-01,5351.3,4906.39,444.91,173.78,217.24,210.21,615.39,0.0,0.41,787.52,575.23,604.77,979.5,606.51,135.83,Abril,2024
2024-04-02,4568.14,4278.46,289.68,128.91,293.33,132.84,464.5,44.14,10.71,595.15,487.01,532.77,572.76,831.55,184.79,Abril,2024
2024-04-03,5103.64,4830.42,273.22,159.57,430.34,100.28,509.17,88.28,4.41,741.03,609.86,417.6,712.23,864.62,193.03,Abril,2024
2024-04-04,5128.75,4941.82,186.93,261.11,370.57,197.32,688.96,58.85,0.0,605.98,592.94,422.1,553.1,972.91,217.98,Abril,2024
2024-04-05,6062.71,5783.66,279.05,277.83,712.52,109.17,666.24,0.0,2.47,635.79,760.11,425.72,726.33,1200.07,267.41,Abril,2024
2024-04-06,1229.61,1083.8,145.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.95,243.98,294.63,212.92,47.32,Abril,2024
2024-04-08,5566.07,5441.0,125.07,287.33,375.78,272.86,537.07,0.0,20.24,398.64,849.39,631.96,986.65,884.52,196.56,Abril,2024
2024-04-09,6246.04,5998.46,247.58,223.04,758.99,275.74,824.9,0.0,19.16,548.78,575.85,678.67,957.87,929.01,206.45,Abril,2024
2024-04-10,7109.97,6813.37,296.6,255.06,993.92,282.19,688.9,0.0,23.19,501.7,641.94,845.02,1378.09,984.44,218.92,Abril,2024
2024-04-11,5556.85,5077.67,479.18,173.64,537.56,169.05,928.42,32.37,8.47,558.19,609.45,507.86,224.42,1083.66,244.58,Abril,2024
2024-04-12,5012.02,4660.21,351.81,16.24,399.11,214.57,517.64,73.56,5.65,575.26,697.35,574.03,464.53,917.24,205.03,Abril,2024
2024-04-13,557.31,505.4,51.91,280.03,225.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abril,2024
2024-04-15,5193.65,5114.91,78.74,0.0,0.0,302.5,616.57,14.71,15.89,775.05,727.03,600.79,990.83,875.69,195.85,Abril,2024
2024-04-16,5242.37,4975.96,266.41,0.0,0.0,80.76,1107.79,0.0,8.12,866.01,616.45,405.06,887.55,821.55,182.67,Abril,2024
2024-04-17,5919.87,5676.16,243.71,0.0,0.0,215.89,976.79,0.0,0.0,761.84,690.59,726.51,1182.38,915.24,206.92,Abril,2024
2024-04-18,6171.280000000001,5900.81,270.47,0.0,0.0,276.68,803.36,147.12,3.18,600.45,724.5,681.29,1058.8,1313.53,291.9,Abril,2024
2024-04-19,4031.27,4031.27,0.0,0.0,0.0,262.71,994.89,0.0,0.0,524.35,706.02,468.94,0.0,878.98,195.38,Abril,2024
2024-04-22,6521.64,6204.14,317.5,236.22,640.05,0.0,920.24,58.85,6.59,698.73,883.34,398.97,1149.9,986.21,225.04,Abril,2024
2024-04-23,6980.52,6606.23,374.29,205.98,735.4,102.68,910.47,0.0,0.0,724.74,711.91,497.62,1212.99,1230.91,273.53,Abril,2024
2024-04-24,5737.080000000001,5654.31,82.77,280.67,407.47,239.93,525.56,0.0,0.0,793.95,599.74,479.53,851.5,1207.6,268.36,Abril,2024
2024-04-25,5352.27,5231.16,121.11,280.5,254.93,175.49,779.0,111.82,1.94,630.22,741.75,456.11,827.08,795.53,176.79,Abril,2024
